Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......7623 Wallis (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	118773	49019	28419	131997	135180	126526	99926	177073	149557	214302	222179	205666	313580	120878	247385	228056	226024	236706
......7623 Wallis (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	47099	73512	50641	12644	12355	10151	8815	27196	17954	18975	20538	59853	60721	110820	126968	90514	103441	164012
......7623 Wallis (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	250	0	0	0	0	0	0	114	11500	21400	28350	6409	0	450	1293	3358	2780	1946
......7623 Wallis (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	33	530	715	0	475	715	0	650	234	1874	535	2559	4564	5861	6173	1165	1070	2953
......7623 Wallis (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	321044	335751	286014	29531	3593	1034	540	200	7200	25729	29000	25206	2341	21211	4100	2913	1795	517
......7623 Wallis (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	32403	27839	27506	22988	18976	20519	15515	12770	22497	14800	9523	14858	21959	20828	9796	12061	8970	1029
......7622 Waadt (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	170	0	3000	0	0	0	6800	31500	29000	0	0	0	0	0	17100	15807	0
......7622 Waadt (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	42337	22379	16827	10400	22400	20994	14478	25118	3252	17649	13712	13084	14749	18326	19703	28964	56468	5722
......7622 Waadt (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	263185	317298	257586	247071	214312	173928	33115	101205	86819	51628	39998	46769	52596	75159	103419	81247	131585	83549
......7622 Waadt (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	59887	66578	72345	57626	48465	27226	167445	54053	99360	118816	139845	145248	134881	140752	213805	156454	94665	239863
......7622 Waadt (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	2500	900	900	0	0	0	2600	11000	600	14982	0	0	0	0	0	0	0	0
......7622 Waadt (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	85	95	100	0	0	175	0	0	0	0	0	0	0	300	210	120	100	0
......7622 Waadt (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	20500	34000	38900	35230	48240	31619	13825	35006	39705	145622	45688	48363	39231	336	305	9877	51	0
......7622 Waadt (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	231	2155	1294	3820	3224	3330	7306	4401	1589	1294	3163	1993	2254	5298	4095	3386	4597	6650
......7621 Tessin (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	300	0	0	280	50	600	0	0	2510	750	0	0	0	0	300	28	0	0
......7621 Tessin (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	4799	9496	9847	11935	2597	16124	9124	12768	10328	5170	4370	8690	10708	7394	17620	6133	11947	9718
